delta t (sec),Ground Acceleration (in G)
10.11,-.3571156E-02
10.12,-.1798865E-02
10.13,.9029689E-04
10.14,.1153931E-02
10.15,.1219528E-02
10.16,.7807325E-03
10.17,.4084751E-03
10.18,.2767133E-03
10.19,.8165532E-04
10.2,-.5752120E-03
10.21,-.1548784E-02
10.22,-.2260723E-02
10.23,-.1080769E-02
10.24,.1704153E-02
10.25,.4019251E-02
10.26,.4194485E-02
10.27,.2080744E-02
10.28,-.1184746E-02
10.29,-.3965378E-02
10.3,-.4741825E-02
10.31,-.3492387E-02
10.32,-.1072064E-02
10.33,.1324864E-02
10.34,.2621457E-02
10.35,.2790907E-02
10.36,.2479528E-02
10.37,.2100451E-02
10.38,.1581283E-02
10.39,.8815464E-03
10.4,.8516826E-04
10.41,-.6797429E-03
10.42,-.1346627E-02
10.43,-.1764465E-02
10.44,-.1794590E-02
10.45,-.1226066E-02
10.46,-.2348958E-03
10.47,.1906426E-03
10.48,-.3469551E-03
10.49,-.1277056E-02
10.5,-.1805806E-02
10.51,-.1578877E-02
10.52,-.8009385E-03
10.53,.2028342E-03
10.54,.1103985E-02
10.55,.1656771E-02
10.56,.1862551E-02
10.57,.1640157E-02
10.58,.7436094E-03
10.59,-.8887598E-03
10.6,-.2433946E-02
10.61,-.2863526E-02
10.62,-.2090049E-02
10.63,-.5487095E-03
10.64,.1307409E-02
10.65,.2695496E-02
10.66,.3187289E-02
10.67,.2734334E-02
10.68,.1389976E-02
10.69,-.7402498E-03
10.7,-.2482034E-02
10.71,-.2912150E-02
10.72,-.2282845E-02
10.73,-.1295894E-02
10.74,-.2968366E-03
10.75,.4771471E-03
10.76,.7010093E-03
10.77,.1060383E-03
10.78,-.1599359E-02
10.79,-.3949566E-02
10.8,-.4351925E-02
10.81,-.2292920E-02
10.82,.2577530E-03
10.83,.1536722E-02
10.84,.1257564E-02
10.85,.2316088E-03
10.86,-.1213412E-02
10.87,-.3089191E-02
10.88,-.4492878E-02
10.89,-.3895239E-02
10.9,-.1445487E-02
10.91,.1057896E-02
10.92,.2116593E-02
10.93,.1730680E-02
10.94,.8341107E-03
10.95,.1301054E-03
10.96,-.3545356E-03
10.97,-.5115081E-03
10.98,-.6092115E-04
10.99,.8586172E-03
11,.1734510E-02
11.01,.2209983E-02
11.02,.2181356E-02
11.03,.1550633E-02
11.04,.6247250E-03
11.05,-.6818681E-04
11.06,-.3094004E-03
11.07,-.2159649E-03
11.08,-.2071920E-03
11.09,-.5389629E-03
